lat,lon,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-25.771585,30.221037,295.09,0.54,0.68,2015/11/1,0,N,VIIRS,n,1,284.15,1.3,N,0
-25.778372,30.226456,297.75,0.54,0.68,2015/11/1,0,N,VIIRS,n,1,284.76,1.01,N,0
-25.662045,27.837149,318.79,0.39,0.59,2015/11/1,0,N,VIIRS,n,1,292.86,2.92,N,2
-25.812771,29.491175,296.38,0.49,0.65,2015/11/1,0,N,VIIRS,n,1,286.12,2.19,N,2
-25.860474,29.469801,300.88,0.49,0.65,2015/11/1,0,N,VIIRS,n,1,286.72,1.02,N,0
-25.856054,29.172062,303.84,0.47,0.64,2015/11/1,0,N,VIIRS,n,1,273.84,3.15,N,2
-24.503777,17.593733,302.77,0.38,0.36,2015/11/1,0,N,VIIRS,n,1,291.91,0.23,N,0
-25.860064,29.47245,298.02,0.49,0.65,2015/11/1,0,N,VIIRS,n,1,286.73,1.12,N,0
-25.857193,29.169292,295.71,0.47,0.64,2015/11/1,0,N,VIIRS,n,1,280.12,1.6,N,2
-25.857527,29.173985,303.24,0.47,0.64,2015/11/1,0,N,VIIRS,n,1,275.59,1.6,N,2
-25.895676,29.117022,313.73,0.47,0.64,2015/11/1,0,N,VIIRS,n,1,290.98,1.58,N,2
-25.938011,29.614874,302.25,0.5,0.66,2015/11/1,0,N,VIIRS,n,1,283.23,0.95,N,0
-25.928341,29.395166,312.09,0.49,0.65,2015/11/1,0,N,VIIRS,n,1,284.75,2.86,N,2
-25.928722,29.400372,301.65,0.49,0.65,2015/11/1,0,N,VIIRS,n,1,284.72,2.01,N,0
-25.701099,26.276985,295.28,0.62,0.54,2015/11/1,0,N,VIIRS,n,1,283.85,1.54,N,0
-26.024519,29.359467,302.47,0.48,0.65,2015/11/1,0,N,VIIRS,n,1,290.77,4.51,N,2
-26.024895,29.364647,319.46,0.48,0.65,2015/11/1,0,N,VIIRS,n,1,292.5,3.77,N,2
-26.03059,29.3587,297.32,0.48,0.65,2015/11/1,0,N,VIIRS,n,1,287.27,1.63,N,2
-26.030966,29.363867,300.75,0.48,0.65,2015/11/1,0,N,VIIRS,n,1,289.78,2.4,N,2
-26.032082,29.379181,306.11,0.49,0.65,2015/11/1,0,N,VIIRS,n,1,290.11,2.03,N,2
-26.038164,29.378485,297.39,0.49,0.65,2015/11/1,0,N,VIIRS,n,1,287.1,2.03,N,2
-26.038525,29.383406,307.53,0.49,0.65,2015/11/1,0,N,VIIRS,n,1,290.53,4.68,N,2
-26.039619,29.398409,305.53,0.49,0.65,2015/11/1,0,N,VIIRS,n,1,289.24,4.42,N,2
-26.039989,29.403479,304.05,0.49,0.65,2015/11/1,0,N,VIIRS,n,1,288.85,2.47,N,0
